fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
122,6,1122.56298828125 778.8422241210938 1225.962646484375 815.4053955078125,0.447135865688324,6JOSEPO,0.2541569962571438
123,6,1122.505615234375 778.8423461914062 1225.9432373046875 815.4022827148438,0.44762122631073,6JOSEPO,0.2541569962571438
124,6,1127.6888427734375 779.755126953125 1227.524658203125 818.8958129882812,0.542857825756073,GJOGEPO,0.47580645508819813
125,6,247.97169494628906 1048.5589599609375 377.82830810546875 1087.77099609375,0.2823679447174072,KHO6KSU,0.287134952909753
126,6,247.502685546875 1049.4403076171875 377.05853271484375 1090.3446044921875,0.43371668457984924,7HO6KSU,0.12430957103971564
127,6,247.57467651367188 1049.431884765625 377.0977478027344 1090.349609375,0.4334448277950287,7HO6KSU,0.12430957103971564
128,6,251.80856323242188 1054.7476806640625 371.6369934082031 1096.9532470703125,0.3662155866622925,KRO6KSU,0.2741594611379911
129,6,251.83749389648438 1054.703125 371.9051818847656 1096.919189453125,0.36372941732406616,KRO6KSU_,0.0723487673237694
130,6,252.4792938232422 1063.783447265625 370.9573059082031 1100.9688720703125,0.4132468104362488,KHO6KSU,0.03576837772406404
131,6,252.47886657714844 1063.7943115234375 370.93408203125 1101.014404296875,0.4136938750743866,KHO6KSU,0.033269289268826996
132,6,254.31918334960938 1066.475830078125 372.4542541503906 1103.1566162109375,0.3831155598163605,KHO6KSUC,0.18728476160381202
133,6,254.42626953125 1066.4793701171875 372.4801940917969 1103.1689453125,0.3830639123916626,KHO6KSUC,0.18728476160381202
134,6,355.3600769042969 737.7557373046875 458.09014892578125 770.666259765625,0.4251442551612854, ,0.0
135,6,355.7303466796875 737.7627563476562 458.054931640625 770.6617431640625,0.4258638024330139, ,0.0
136,6,354.3785095214844 737.62109375 448.2789611816406 775.6907348632812,0.4897233247756958, ,0.0
137,6,1130.668701171875 796.4769287109375 1230.7470703125 833.41796875,0.4886915683746338,6JO6EPD,0.12015511299338975
138,6,359.6861572265625 740.7317504882812 452.1102294921875 773.3501586914062,0.4513000249862671, ,0.0
139,6,252.61920166015625 1076.3255615234375 365.1130065917969 1114.931640625,0.2855690121650696,KHOBRSU,0.3396559395156546
140,6,244.0953369140625 1084.41796875 360.10992431640625 1120.291259765625,0.3849918842315674,KH6KSU,0.22398572730855604
141,6,244.18116760253906 1084.3922119140625 360.2313537597656 1120.273193359375,0.3866250216960907,KH6KSU,0.22398572730855604
142,6,239.25511169433594 1088.441650390625 364.75262451171875 1126.0601806640625,0.345737487077713,KHO6RSU,0.7078956641843218
143,6,239.34942626953125 1088.4339599609375 364.7660827636719 1126.037841796875,0.3476469814777374,KHO6RSU,0.7078956641843218
